id,display_name,created_at,max_input_tokens,max_tokens
claude-opus-4-1-20250805,Claude Opus 4.1,2025-08-05,200000,32000
claude-sonnet-4-5-20250929,Claude Sonnet 4.5,2025-09-29,1000000,64000
claude-haiku-4-5-20251001,Claude Haiku 4.5,2025-10-15,200000,64000
claude-opus-4-5-20251101,Claude Opus 4.5,2025-11-24,200000,64000
claude-opus-4-6,Claude Opus 4.6,2026-02-04,1000000,128000
claude-sonnet-4-6,Claude Sonnet 4.6,2026-02-17,1000000,128000
claude-opus-4-7,Claude Opus 4.7,2026-04-14,1000000,128000
claude-opus-4-8,Claude Opus 4.8,2026-05-28,1000000,128000
claude-fable-5,Claude Fable 5,2026-06-07,1000000,128000
claude-sonnet-5,Claude Sonnet 5,2026-06-29,1000000,128000
claude-opus-5,Claude Opus 5,2026-07-24,1000000,128000
