name,displayName,publisher,lifecycle
AI21-Jamba-Instruct,AI21-Jamba-Instruct,AI21 Labs,Retired
Azure-AI-Content-Safety,Azure-AI-Content-Safety,Microsoft,Generally available
Azure-AI-Content-Understanding,Azure-AI-Content-Understanding,Microsoft,Generally available
Azure-AI-Document-Intelligence,Azure-AI-Document-Intelligence,Microsoft,Generally available
Azure-AI-Vision,Azure-AI-Vision,Microsoft,Generally available
Azure-Content-Understanding-Layout,Azure-Content-Understanding-Layout,Microsoft,Generally available
Azure-Content-Understanding-Read,Azure-Content-Understanding-Read,Microsoft,Generally available
Azure-Language-Conversational-PII-redaction,Azure-Language-Conversational-PII-redaction,Microsoft,Generally available
Azure-Language-Document-PII-redaction,Azure-Language-Document-PII-redaction,Microsoft,Generally available
Azure-Language-Language-detection,Azure-Language-Language-detection,Microsoft,Generally available
Azure-Language-Text-Analytics-for-Health,Azure-Language-Text-Analytics-for-Health,Microsoft,Generally available
Azure-Language-Text-PII-redaction,Azure-Language-Text-PII-redaction,Microsoft,Generally available
Azure-Speech-Speech-Translation,Azure-Speech-Speech-Translation,Microsoft,Generally available
Azure-Speech-Speech-to-text,Azure-Speech-Speech-to-text,Microsoft,Generally available
Azure-Speech-Text-to-speech,Azure-Speech-Text-to-speech,Microsoft,Generally available
Azure-Speech-Text-to-speech-Avatar,Azure-Speech-Text-to-speech-Avatar,Microsoft,Generally available
Azure-Speech-Voice-Live,Azure-Speech-Voice-Live,Microsoft,Generally available
Azure-Translator-Document-translation,Azure-Translator-Document-translation,Microsoft,Generally available
Azure-Translator-Text-translation,Azure-Translator-Text-translation,Microsoft,Generally available
Codestral-2501,Codestral 25.01,Mistral AI,Generally Available
Cohere-command-a-plus-05-2026,Cohere-command-a-plus-05-2026,Cohere,Preview
Cohere-embed-v3-english,Cohere Embed v3 English,Cohere,Generally Available
Cohere-embed-v3-multilingual,Cohere Embed v3 Multilingual,Cohere,Generally Available
Cohere-rerank-v4.0-fast,Cohere Rerank v4.0 Fast,Cohere,Generally available
Cohere-rerank-v4.0-pro,Cohere Rerank v4.0 Pro,Cohere,Generally Available
CxrReportGen-Premium,CXRReportGen Premium,Microsoft,
DeepSeek-R1,DeepSeek-R1,DeepSeek,Deprecated
DeepSeek-R1-0528,DeepSeek-R1-0528,DeepSeek,Retired
