region,modelId,modelName,providerName,startOfLifeTime,status
us-east-1,amazon.titan-embed-g1-text-02,Titan Text Embeddings v2,Amazon,2023-11-29,ACTIVE
us-east-1,amazon.titan-embed-image-v1,Titan Multimodal Embeddings G1,Amazon,2023-11-29,ACTIVE
us-east-1,amazon.titan-embed-image-v1:0,Titan Multimodal Embeddings G1,Amazon,2023-11-29,ACTIVE
us-east-1,mistral.mistral-7b-instruct-v0:2,Mistral 7B Instruct,Mistral AI,2024-03-01,ACTIVE
us-east-1,mistral.mixtral-8x7b-instruct-v0:1,Mixtral 8x7B Instruct,Mistral AI,2024-03-01,ACTIVE
us-east-1,anthropic.claude-3-sonnet-20240229-v1:0,Claude 3 Sonnet,Anthropic,2024-03-04,LEGACY
us-east-1,anthropic.claude-3-sonnet-20240229-v1:0:200k,Claude 3 Sonnet,Anthropic,2024-03-04,LEGACY
us-east-1,anthropic.claude-3-sonnet-20240229-v1:0:28k,Claude 3 Sonnet,Anthropic,2024-03-04,LEGACY
us-east-1,anthropic.claude-3-haiku-20240307-v1:0,Claude 3 Haiku,Anthropic,2024-03-13,LEGACY
us-east-1,anthropic.claude-3-haiku-20240307-v1:0:200k,Claude 3 Haiku,Anthropic,2024-03-13,LEGACY
us-east-1,anthropic.claude-3-haiku-20240307-v1:0:48k,Claude 3 Haiku,Anthropic,2024-03-13,LEGACY
us-east-1,mistral.mistral-large-2402-v1:0,Mistral Large (24.02),Mistral AI,2024-04-03,ACTIVE
us-east-1,meta.llama3-70b-instruct-v1:0,Llama 3 70B Instruct,Meta,2024-04-23,ACTIVE
us-east-1,meta.llama3-8b-instruct-v1:0,Llama 3 8B Instruct,Meta,2024-04-23,ACTIVE
us-east-1,amazon.titan-embed-text-v2:0,Titan Text Embeddings V2,Amazon,2024-04-30,ACTIVE
us-east-1,amazon.titan-embed-text-v2:0:8k,Titan Text Embeddings V2,Amazon,2024-04-30,ACTIVE
us-east-1,cohere.command-r-plus-v1:0,Command R+,Cohere,2024-04-30,LEGACY
us-east-1,cohere.command-r-v1:0,Command R,Cohere,2024-04-30,LEGACY
us-east-1,mistral.mistral-small-2402-v1:0,Mistral Small (24.02),Mistral AI,2024-05-24,ACTIVE
us-east-1,meta.llama3-1-70b-instruct-v1:0,Llama 3.1 70B Instruct,Meta,2024-07-23,ACTIVE
us-east-1,meta.llama3-1-8b-instruct-v1:0,Llama 3.1 8B Instruct,Meta,2024-07-23,ACTIVE
us-east-1,ai21.jamba-1-5-large-v1:0,Jamba 1.5 Large,AI21 Labs,2024-09-23,LEGACY
us-east-1,ai21.jamba-1-5-mini-v1:0,Jamba 1.5 Mini,AI21 Labs,2024-09-23,LEGACY
us-east-1,cohere.rerank-v3-5:0,Rerank 3.5,Cohere,2024-12-01,ACTIVE
us-east-1,amazon.nova-pro-v1:0,Nova Pro,Amazon,2024-12-03,ACTIVE
us-east-1,amazon.nova-pro-v1:0:24k,Nova Pro,Amazon,2024-12-03,ACTIVE
us-east-1,amazon.nova-pro-v1:0:300k,Nova Pro,Amazon,2024-12-03,ACTIVE
us-east-1,amazon.nova-lite-v1:0,Nova Lite,Amazon,2024-12-03,ACTIVE
us-east-1,amazon.nova-lite-v1:0:24k,Nova Lite,Amazon,2024-12-03,ACTIVE
us-east-1,amazon.nova-lite-v1:0:300k,Nova Lite,Amazon,2024-12-03,ACTIVE
