region,id,created,status,owned_by
us-east-1,anthropic.claude-haiku-4-5,2025-10-01,available,system
us-east-1,nvidia.nemotron-nano-12b-v2,2025-11-22,available,system
us-east-1,nvidia.nemotron-nano-9b-v2,2025-11-22,available,system
us-east-1,mistral.ministral-3-3b-instruct,2025-11-23,available,system
us-east-1,mistral.ministral-3-8b-instruct,2025-11-23,available,system
us-east-1,mistral.ministral-3-14b-instruct,2025-11-23,available,system
us-east-1,mistral.mistral-large-3-675b-instruct,2025-11-23,available,system
us-east-1,deepseek.v3.1,2025-11-30,available,system
us-east-1,google.gemma-3-12b-it,2025-11-30,available,system
us-east-1,google.gemma-3-27b-it,2025-11-30,available,system
us-east-1,google.gemma-3-4b-it,2025-11-30,available,system
us-east-1,minimax.minimax-m2,2025-11-30,available,system
us-east-1,mistral.magistral-small-2509,2025-11-30,available,system
us-east-1,mistral.voxtral-mini-3b-2507,2025-11-30,available,system
us-east-1,mistral.voxtral-small-24b-2507,2025-11-30,available,system
us-east-1,moonshotai.kimi-k2-thinking,2025-11-30,available,system
us-east-1,openai.gpt-oss-120b,2025-11-30,available,system
us-east-1,openai.gpt-oss-20b,2025-11-30,available,system
us-east-1,openai.gpt-oss-safeguard-120b,2025-11-30,available,system
us-east-1,openai.gpt-oss-safeguard-20b,2025-11-30,available,system
us-east-1,qwen.qwen3-235b-a22b-2507,2025-11-30,available,system
us-east-1,qwen.qwen3-32b,2025-11-30,available,system
us-east-1,qwen.qwen3-coder-30b-a3b-instruct,2025-11-30,available,system
us-east-1,qwen.qwen3-coder-480b-a35b-instruct,2025-11-30,available,system
us-east-1,qwen.qwen3-next-80b-a3b-instruct,2025-11-30,available,system
us-east-1,qwen.qwen3-vl-235b-a22b-instruct,2025-11-30,available,system
us-east-1,zai.glm-4.6,2025-11-30,available,system
us-east-1,nvidia.nemotron-nano-3-30b,2025-12-07,available,system
us-east-1,mistral.devstral-2-123b,2025-12-16,available,system
us-east-1,nvidia.nemotron-super-3-120b,2026-01-19,available,system
us-east-1,deepseek.v3.2,2026-01-26,available,system
us-east-1,minimax.minimax-m2.1,2026-01-26,available,system
us-east-1,minimax.minimax-m2.5,2026-01-26,available,system
us-east-1,moonshotai.kimi-k2.5,2026-01-28,available,system
us-east-1,zai.glm-4.7,2026-01-28,available,system
us-east-1,zai.glm-4.7-flash,2026-01-29,available,system
us-east-1,qwen.qwen3-coder-next,2026-02-04,available,system
us-east-1,zai.glm-5,2026-02-22,available,system
us-east-1,writer.palmyra-vision-7b,2026-02-23,available,system
us-east-1,anthropic.claude-opus-4-7,2026-04-09,available,system
us-east-1,openai.gpt-5.4,2026-04-30,available,system
us-east-1,openai.gpt-5.4-2026-03-05,2026-04-30,available,system
us-east-1,google.gemma-4-26b-a4b,2026-05-04,available,system
us-east-1,google.gemma-4-31b,2026-05-07,available,system
us-east-1,google.gemma-4-e2b,2026-05-07,available,system
us-east-1,xai.grok-4.3,2026-05-13,available,system
us-east-1,anthropic.claude-opus-4-8,2026-05-19,available,system
us-east-1,openai.gpt-5.5,2026-05-21,available,system
us-east-1,openai.gpt-5.5-2026-04-23,2026-05-21,available,system
us-east-1,anthropic.claude-fable-5,2026-06-01,unavailable,system
us-east-1,anthropic.claude-sonnet-5,2026-06-17,available,system
us-east-1,openai.gpt-5.6-sol,2026-06-19,available,system
us-east-1,openai.gpt-5.6-terra,2026-06-19,available,system
us-east-1,openai.gpt-5.6-luna,2026-06-25,available,system
us-east-1,anthropic.claude-opus-5,2026-07-02,available,system
