region,model,launchStage,versionId,openSourceCategory
us-central1,meta/llama-3.3-70b-instruct-maas,GA,001,THIRD_PARTY_OWNED_OSS
us-central1,mistralai/mistral-small-2503,GA,001,THIRD_PARTY_OWNED_OSS
us-central1,qwen/qwen3-coder-480b-a35b-instruct-maas,GA,001,THIRD_PARTY_OWNED_OSS
us-central1,meta/llama-4-maverick-17b-128e-instruct-maas,GA,001,THIRD_PARTY_OWNED_OSS
us-central1,mistralai/mistral-medium-3,GA,001,PROPRIETARY
us-central1,mistralai/mistral-ocr-2505,GA,001,PROPRIETARY
us-central1,deepseek-ai/deepseek-r1-0528-maas,GA,001,THIRD_PARTY_OWNED_OSS
us-central1,qwen/qwen3-235b-a22b-instruct-2507-maas,GA,001,THIRD_PARTY_OWNED_OSS
us-central1,anthropic/claude-opus-4-1,GA,20250805,PROPRIETARY
us-central1,openai/gpt-oss-120b-maas,GA,001,THIRD_PARTY_OWNED_OSS
us-central1,deepseek-ai/deepseek-v3.1-maas,GA,001,THIRD_PARTY_OWNED_OSS
us-central1,qwen/qwen3-next-80b-a3b-instruct-maas,GA,001,THIRD_PARTY_OWNED_OSS
us-central1,qwen/qwen3-next-80b-a3b-thinking-maas,GA,001,THIRD_PARTY_OWNED_OSS
us-central1,intfloat/multilingual-e5-large-instruct-maas,GA,001,THIRD_PARTY_OWNED_OSS
us-central1,anthropic/claude-sonnet-4-5,GA,20250929,PROPRIETARY
us-central1,anthropic/claude-haiku-4-5,GA,20251001,PROPRIETARY
us-central1,mistralai/codestral-2,GA,001,PROPRIETARY
us-central1,deepseek-ai/deepseek-ocr-maas,GA,001,THIRD_PARTY_OWNED_OSS
us-central1,minimaxai/minimax-m2-maas,GA,001,THIRD_PARTY_OWNED_OSS
us-central1,moonshotai/kimi-k2-thinking-maas,GA,001,THIRD_PARTY_OWNED_OSS
us-central1,xai/grok-4.1-fast-non-reasoning,EXPERIMENTAL,001,PROPRIETARY
us-central1,xai/grok-4.1-fast-reasoning,EXPERIMENTAL,001,PROPRIETARY
us-central1,anthropic/claude-opus-4-5,GA,20251101,PROPRIETARY
us-central1,deepseek-ai/deepseek-v3.2-maas,GA,001,THIRD_PARTY_OWNED_OSS
us-central1,zai-org/glm-4.7-maas,GA,001,THIRD_PARTY_OWNED_OSS
us-central1,anthropic/claude-opus-4-6,GA,default,PROPRIETARY
us-central1,zai-org/glm-5-maas,EXPERIMENTAL,001,THIRD_PARTY_OWNED_OSS
us-central1,anthropic/claude-sonnet-4-6,GA,default,PROPRIETARY
us-central1,xai/grok-4.20-non-reasoning,GA,001,PROPRIETARY
us-central1,xai/grok-4.20-reasoning,GA,001,PROPRIETARY
us-central1,anthropic/claude-opus-4-7,GA,default,PROPRIETARY
us-central1,xai/grok-4.3,EXPERIMENTAL,001,PROPRIETARY
us-central1,anthropic/claude-opus-4-8,GA,default,PROPRIETARY
us-central1,anthropic/claude-fable-5,GA,default,PROPRIETARY
us-central1,anthropic/claude-sonnet-5,GA,default,PROPRIETARY
us-central1,anthropic/claude-opus-5,GA,default,PROPRIETARY
