id,created
text-embedding-ada-002,2022-12-16
whisper-1,2023-02-27
gpt-3.5-turbo,2023-02-28
tts-1,2023-04-19
gpt-3.5-turbo-16k,2023-05-10
gpt-4-0613,2023-06-12
gpt-4,2023-06-27
davinci-002,2023-08-21
babbage-002,2023-08-21
gpt-3.5-turbo-instruct,2023-08-24
gpt-3.5-turbo-instruct-0914,2023-09-07
gpt-3.5-turbo-1106,2023-11-02
tts-1-hd,2023-11-03
tts-1-1106,2023-11-03
tts-1-hd-1106,2023-11-03
text-embedding-3-small,2024-01-22
text-embedding-3-large,2024-01-22
gpt-3.5-turbo-0125,2024-01-23
gpt-4-turbo,2024-04-05
gpt-4-turbo-2024-04-09,2024-04-08
gpt-4o,2024-05-10
gpt-4o-2024-05-13,2024-05-10
gpt-4o-mini-2024-07-18,2024-07-16
gpt-4o-mini,2024-07-16
gpt-4o-2024-08-06,2024-08-04
omni-moderation-latest,2024-11-15
omni-moderation-2024-09-26,2024-11-27
o1-2024-12-17,2024-12-16
o1,2024-12-16
o3-mini,2025-01-17
o3-mini-2025-01-31,2025-01-27
gpt-4o-2024-11-20,2025-02-12
gpt-4o-mini-search-preview-2025-03-11,2025-03-07
gpt-4o-mini-search-preview,2025-03-07
gpt-4o-transcribe,2025-03-15
gpt-4o-mini-transcribe,2025-03-15
o1-pro-2025-03-19,2025-03-17
o1-pro,2025-03-17
gpt-4o-mini-tts,2025-03-19
o3-2025-04-16,2025-04-08
o4-mini-2025-04-16,2025-04-08
o3,2025-04-09
o4-mini,2025-04-09
gpt-4.1-2025-04-14,2025-04-10
gpt-4.1,2025-04-10
gpt-4.1-mini-2025-04-14,2025-04-10
gpt-4.1-mini,2025-04-10
gpt-4.1-nano-2025-04-14,2025-04-10
gpt-4.1-nano,2025-04-10
gpt-image-1,2025-04-24
o4-mini-deep-research,2025-06-11
gpt-4o-transcribe-diarize,2025-06-24
o4-mini-deep-research-2025-06-26,2025-06-25
gpt-5-chat-latest,2025-08-01
gpt-5-2025-08-07,2025-08-01
gpt-5,2025-08-05
gpt-5-mini-2025-08-07,2025-08-05
gpt-5-mini,2025-08-05
gpt-5-nano-2025-08-07,2025-08-05
gpt-5-nano,2025-08-05
gpt-audio-2025-08-28,2025-08-27
gpt-realtime,2025-08-27
gpt-realtime-2025-08-28,2025-08-27
gpt-audio,2025-08-28
gpt-5-codex,2025-09-10
gpt-image-1-mini,2025-09-26
gpt-5-pro-2025-10-06,2025-10-03
gpt-5-pro,2025-10-03
gpt-audio-mini,2025-10-03
gpt-audio-mini-2025-10-06,2025-10-03
gpt-5-search-api,2025-10-03
gpt-realtime-mini,2025-10-03
gpt-realtime-mini-2025-10-06,2025-10-03
sora-2,2025-10-05
sora-2-pro,2025-10-05
gpt-5-search-api-2025-10-14,2025-10-09
gpt-5.1-chat-latest,2025-11-07
gpt-5.1-2025-11-13,2025-11-10
gpt-5.1,2025-11-10
gpt-5.1-codex,2025-11-12
gpt-5.1-codex-mini,2025-11-13
gpt-5.1-codex-max,2025-11-20
gpt-image-1.5,2025-11-25
gpt-5.2-2025-12-11,2025-12-09
gpt-5.2,2025-12-09
gpt-5.2-pro-2025-12-11,2025-12-10
gpt-5.2-pro,2025-12-10
gpt-5.2-chat-latest,2025-12-10
gpt-4o-mini-transcribe-2025-12-15,2025-12-13
gpt-4o-mini-transcribe-2025-03-20,2025-12-13
gpt-4o-mini-tts-2025-03-20,2025-12-13
gpt-4o-mini-tts-2025-12-15,2025-12-13
gpt-realtime-mini-2025-12-15,2025-12-13
gpt-audio-mini-2025-12-15,2025-12-15
chatgpt-image-latest,2025-12-16
gpt-5.2-codex,2025-12-19
gpt-5.3-codex,2026-02-08
gpt-realtime-1.5,2026-02-19
gpt-audio-1.5,2026-02-20
gpt-4o-search-preview,2026-02-24
gpt-4o-search-preview-2025-03-11,2026-02-24
gpt-5.3-chat-latest,2026-02-27
gpt-5.4-2026-03-05,2026-03-04
gpt-5.4-pro,2026-03-04
gpt-5.4-pro-2026-03-05,2026-03-04
gpt-5.4,2026-03-05
gpt-5.4-nano-2026-03-17,2026-03-14
gpt-5.4-nano,2026-03-14
gpt-5.4-mini-2026-03-17,2026-03-14
gpt-5.4-mini,2026-03-14
gpt-image-2,2026-04-17
gpt-image-2-2026-04-21,2026-04-17
gpt-5.5,2026-04-22
gpt-5.5-2026-04-23,2026-04-22
gpt-5.5-pro,2026-04-22
gpt-5.5-pro-2026-04-23,2026-04-22
chat-latest,2026-05-02
gpt-realtime-translate,2026-05-05
gpt-realtime-2,2026-05-05
gpt-realtime-whisper,2026-05-05
gpt-5.6-sol,2026-06-23
gpt-5.6-terra,2026-06-23
gpt-5.6-luna,2026-06-23
gpt-realtime-2.1,2026-06-23
gpt-realtime-2.1-mini,2026-06-23
gpt-transcribe,2026-07-27
gpt-live-transcribe,2026-07-27
